model,configuration_id,k,eps,min_samples,inertia,runtime_seconds,stability_score,interpretability_score,valid_configuration,rejection_reason,number_of_clusters,noise_percentage,smallest_cluster_pct,largest_cluster_pct,cluster_balance,silhouette_score,davies_bouldin_score,calinski_harabasz_score,selection_score,selected,deterministic_fixed_input,best_parameters,interpretability,operational_usefulness,classification_rule,precision,recall,f1,f2,specificity,balanced_accuracy,roc_auc,pr_auc,true_positives,false_positives,false_negatives,true_negatives,predicted_anomalies,predicted_anomaly_pct,precision_at_1pct,recall_at_1pct,lift_at_1pct,precision_at_5pct,recall_at_5pct,lift_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,top_decile_capture,segmentation_score,anomaly_score,best_segmentation_model,best_anomaly_detection_model
K-Means,kmeans_k_3,3.0,,,135589.82075416925,0.12982720020227134,0.9985792923571069,0.9259259259259258,True,,3,0.0,2.3311703917327566,67.65200672915165,0.034458259325044406,0.24811063532846736,1.3304027164937968,3000.043748470106,0.5901422246171509,True,,"{""algorithm"": ""K-Means"", ""inertia"": 135589.82075416922, ""max_iter"": 500, ""n_clusters"": 3, ""n_init"": 20, ""random_state"": 42}",0.92,0.9,exact top 6.0% centroid-distance percentile,0.656,0.656,0.656,0.656,0.9780107389414472,0.8170053694707236,0.9242904627972386,0.7102883372659499,164,86,86,3825,250,6.00817111271329,1.0,0.168,16.644000000000002,0.6985645933014354,0.584,11.626909090909091,0.4580335731414868,0.764,7.623510791366907,0.764,0.5965527330149505,0.8954036440199342,True,True
DBSCAN,dbscan_eps_5.28515_min_16,,5.285147501922374,16.0,,0.11467539984732866,0.9966315287179194,0.9491332116788321,True,,2,5.359288632540254,0.6248497957221821,94.01586157173756,0.0066462167689161555,0.9091990751504818,0.11408508527797469,3064.4350445223636,0.7540130709610132,True,True,"{""algorithm"": ""DBSCAN"", ""eps"": 5.285147501922374, ""metric"": ""euclidean"", ""min_samples"": 16, ""prediction_note"": ""Nearest-core assignment within eps; sklearn DBSCAN has no native predict.""}",0.82,0.78,DBSCAN noise label (-1),0.6591928251121076,0.588,0.6215644820295984,0.6009811937857726,0.9805676297622091,0.7842838148811045,0.9295412937867555,0.6917592914218301,147,76,103,3835,223,5.359288632540254,1.0,0.168,16.644000000000002,0.6842105263157895,0.572,11.388000000000002,0.45083932853717024,0.752,7.503769784172662,0.752,0.4269136647351408,0.13588488631352105,False,False
