model,classification_rule,precision,recall,f1,f2,specificity,balanced_accuracy,roc_auc,pr_auc,true_positives,false_positives,false_negatives,true_negatives,predicted_anomalies,predicted_anomaly_pct,precision_at_1pct,recall_at_1pct,lift_at_1pct,precision_at_5pct,recall_at_5pct,lift_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,top_decile_capture
K-Means,exact top 6.0% centroid-distance percentile,0.656,0.656,0.656,0.656,0.9780107389414472,0.8170053694707236,0.9242904627972386,0.7102883372659499,164,86,86,3825,250,6.00817111271329,1.0,0.168,16.644000000000002,0.6985645933014354,0.584,11.626909090909091,0.4580335731414868,0.764,7.623510791366907,0.764
DBSCAN,DBSCAN noise label (-1),0.6591928251121076,0.588,0.6215644820295984,0.6009811937857726,0.9805676297622091,0.7842838148811045,0.9295412937867555,0.6917592914218301,147,76,103,3835,223,5.359288632540254,1.0,0.168,16.644000000000002,0.6842105263157895,0.572,11.388000000000002,0.45083932853717024,0.752,7.503769784172662,0.752
