review_rank,review_fraction,threshold,captured_count,precision,recall,lift
1,0.019230769230769232,264.3821623057947,1,1.0,0.05555555555555555,2.888888888888889
2,0.038461538461538464,199.57548907725223,1,0.5,0.05555555555555555,1.4444444444444444
3,0.057692307692307696,199.21927749365184,1,0.3333333333333333,0.05555555555555555,0.9629629629629629
4,0.07692307692307693,198.92225489557902,1,0.25,0.05555555555555555,0.7222222222222222
5,0.09615384615384616,198.67802427692726,1,0.2,0.05555555555555555,0.5777777777777778
6,0.11538461538461539,198.67392723226448,1,0.16666666666666666,0.05555555555555555,0.48148148148148145
7,0.1346153846153846,198.65478868012895,1,0.14285714285714285,0.05555555555555555,0.4126984126984127
8,0.15384615384615385,198.54344700441578,1,0.125,0.05555555555555555,0.3611111111111111
9,0.17307692307692307,198.4414455126367,1,0.1111111111111111,0.05555555555555555,0.32098765432098764
10,0.19230769230769232,198.4117062911386,1,0.1,0.05555555555555555,0.2888888888888889
11,0.21153846153846154,161.6039154036986,2,0.18181818181818182,0.1111111111111111,0.5252525252525253
12,0.23076923076923078,155.8133791044616,2,0.16666666666666666,0.1111111111111111,0.48148148148148145
13,0.25,155.56038105310816,2,0.15384615384615385,0.1111111111111111,0.4444444444444445
14,0.2692307692307692,146.75480184036837,2,0.14285714285714285,0.1111111111111111,0.4126984126984127
15,0.28846153846153844,115.58910655574351,3,0.2,0.16666666666666666,0.5777777777777778
16,0.3076923076923077,111.30189865883979,4,0.25,0.2222222222222222,0.7222222222222222
17,0.3269230769230769,70.7688245773363,5,0.29411764705882354,0.2777777777777778,0.8496732026143792
18,0.34615384615384615,53.94050233613081,5,0.2777777777777778,0.2777777777777778,0.8024691358024691
19,0.36538461538461536,13.179598712543179,6,0.3157894736842105,0.3333333333333333,0.9122807017543859
20,0.38461538461538464,9.273448894461595,7,0.35,0.3888888888888889,1.011111111111111
21,0.40384615384615385,6.694184073366355,8,0.38095238095238093,0.4444444444444444,1.1005291005291005
22,0.4230769230769231,6.6521142137617195,9,0.4090909090909091,0.5,1.1818181818181819
23,0.4423076923076923,5.91307614835035,10,0.43478260869565216,0.5555555555555556,1.2560386473429952
24,0.46153846153846156,5.606286772561936,11,0.4583333333333333,0.6111111111111112,1.324074074074074
25,0.4807692307692308,5.602017540565758,12,0.48,0.6666666666666666,1.3866666666666667
26,0.5,5.563009624081649,13,0.5,0.7222222222222222,1.4444444444444444
27,0.5192307692307693,4.831587602631342,14,0.5185185185185185,0.7777777777777778,1.4979423868312756
28,0.5384615384615384,4.096438166158287,14,0.5,0.7777777777777778,1.4444444444444444
29,0.5576923076923077,3.694270338500271,15,0.5172413793103449,0.8333333333333334,1.4942528735632186
30,0.5769230769230769,3.0890906407477083,15,0.5,0.8333333333333334,1.4444444444444444
31,0.5961538461538461,3.0237785384961287,15,0.4838709677419355,0.8333333333333334,1.3978494623655915
32,0.6153846153846154,2.9025741853232807,16,0.5,0.8888888888888888,1.4444444444444444
33,0.6346153846153846,2.7669217124569925,17,0.5151515151515151,0.9444444444444444,1.488215488215488
34,0.6538461538461539,2.5131487580191627,17,0.5,0.9444444444444444,1.4444444444444444
35,0.6730769230769231,2.481523600971224,17,0.4857142857142857,0.9444444444444444,1.4031746031746033
36,0.6923076923076923,2.421385759580096,18,0.5,1.0,1.4444444444444444
37,0.7115384615384616,2.3616716359175127,18,0.4864864864864865,1.0,1.4054054054054055
38,0.7307692307692307,2.255420582278371,18,0.47368421052631576,1.0,1.368421052631579
39,0.75,2.1716953610186485,18,0.46153846153846156,1.0,1.3333333333333335
40,0.7692307692307693,2.1494033982441016,18,0.45,1.0,1.3
41,0.7884615384615384,2.1421225258654704,18,0.43902439024390244,1.0,1.2682926829268293
42,0.8076923076923077,2.1053899896401833,18,0.42857142857142855,1.0,1.2380952380952381
43,0.8269230769230769,2.0328040702126766,18,0.4186046511627907,1.0,1.2093023255813955
44,0.8461538461538461,2.027077394202594,18,0.4090909090909091,1.0,1.1818181818181819
45,0.8653846153846154,1.994274253926145,18,0.4,1.0,1.1555555555555557
46,0.8846153846153846,1.9325122225918185,18,0.391304347826087,1.0,1.1304347826086958
47,0.9038461538461539,1.9289582928965083,18,0.3829787234042553,1.0,1.1063829787234043
48,0.9230769230769231,1.8795384472126162,18,0.375,1.0,1.0833333333333333
49,0.9423076923076923,1.8130333271463346,18,0.3673469387755102,1.0,1.0612244897959184
50,0.9615384615384616,1.7101911533168768,18,0.36,1.0,1.04
51,0.9807692307692307,1.4417315670482265,18,0.35294117647058826,1.0,1.019607843137255
52,1.0,1.1693529692925775,18,0.34615384615384615,1.0,1.0
