precision,recall,threshold
0.34615384615384615,1.0,1.1693529692925775
0.35294117647058826,1.0,1.4417315670482265
0.36,1.0,1.7101911533168768
0.3673469387755102,1.0,1.8130333271463346
0.375,1.0,1.8795384472126162
0.3829787234042553,1.0,1.9289582928965083
0.391304347826087,1.0,1.9325122225918185
0.4,1.0,1.994274253926145
0.4090909090909091,1.0,2.027077394202594
0.4186046511627907,1.0,2.0328040702126766
0.42857142857142855,1.0,2.1053899896401833
0.43902439024390244,1.0,2.1421225258654704
0.45,1.0,2.1494033982441016
0.46153846153846156,1.0,2.1716953610186485
0.47368421052631576,1.0,2.255420582278371
0.4864864864864865,1.0,2.3616716359175127
0.5,1.0,2.421385759580096
0.4857142857142857,0.9444444444444444,2.481523600971224
0.5,0.9444444444444444,2.5131487580191627
0.5151515151515151,0.9444444444444444,2.7669217124569925
0.5,0.8888888888888888,2.9025741853232807
0.4838709677419355,0.8333333333333334,3.0237785384961287
0.5,0.8333333333333334,3.0890906407477083
0.5172413793103449,0.8333333333333334,3.694270338500271
0.5,0.7777777777777778,4.096438166158287
0.5185185185185185,0.7777777777777778,4.831587602631342
0.5,0.7222222222222222,5.563009624081649
0.48,0.6666666666666666,5.602017540565758
0.4583333333333333,0.6111111111111112,5.606286772561936
0.43478260869565216,0.5555555555555556,5.91307614835035
0.4090909090909091,0.5,6.6521142137617195
0.38095238095238093,0.4444444444444444,6.694184073366355
0.35,0.3888888888888889,9.273448894461595
0.3157894736842105,0.3333333333333333,13.179598712543179
0.2777777777777778,0.2777777777777778,53.94050233613081
0.29411764705882354,0.2777777777777778,70.7688245773363
0.25,0.2222222222222222,111.30189865883979
0.2,0.16666666666666666,115.58910655574351
0.14285714285714285,0.1111111111111111,146.75480184036837
0.15384615384615385,0.1111111111111111,155.56038105310816
0.16666666666666666,0.1111111111111111,155.8133791044616
0.18181818181818182,0.1111111111111111,161.6039154036986
0.1,0.05555555555555555,198.4117062911386
0.1111111111111111,0.05555555555555555,198.4414455126367
0.125,0.05555555555555555,198.54344700441578
0.14285714285714285,0.05555555555555555,198.65478868012895
0.16666666666666666,0.05555555555555555,198.67392723226448
0.2,0.05555555555555555,198.67802427692726
0.25,0.05555555555555555,198.92225489557902
0.3333333333333333,0.05555555555555555,199.21927749365184
0.5,0.05555555555555555,199.57548907725223
1.0,0.05555555555555555,264.3821623057947
1.0,0.0,
