false_positive_rate,true_positive_rate,threshold
0.0,0.0,
0.0,0.05555555555555555,264.3821623057947
0.2647058823529412,0.05555555555555555,198.4117062911386
0.2647058823529412,0.1111111111111111,161.6039154036986
0.35294117647058826,0.1111111111111111,146.75480184036837
0.35294117647058826,0.2777777777777778,70.7688245773363
0.38235294117647056,0.2777777777777778,53.94050233613081
0.38235294117647056,0.7777777777777778,4.831587602631342
0.4117647058823529,0.7777777777777778,4.096438166158287
0.4117647058823529,0.8333333333333334,3.694270338500271
0.47058823529411764,0.8333333333333334,3.0237785384961287
0.47058823529411764,0.9444444444444444,2.7669217124569925
0.5294117647058824,0.9444444444444444,2.481523600971224
0.5294117647058824,1.0,2.421385759580096
1.0,1.0,1.1693529692925775
